,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
2868,2012,Barabati Stadium,Cuttack,1,CL White,2,54,84,5,4,2.0,0.0,85.0,111.0,10.0,76.0,1.0
64,2008,"Eden Gardens, Kolkata",Kolkata,1,DB Das,3,73,87,7,5,3.0,0.0,88.0,111.33333333333333,13.0,76.0,1.0
2435,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,CH Gayle,1,50,89,9,5,1.0,0.0,90.0,139.0,15.0,76.0,1.0
6599,2017,Feroz Shah Kotla,Delhi,2,SV Samson,4,53,85,2,8,4.0,0.0,86.0,98.25,11.0,76.0,1.0
4078,2013,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,S Badrinath,3,72,84,9,0,3.0,0.0,85.0,108.0,10.0,76.0,1.0
901,2009,Kingsmead,Durban,2,RS Bopara,1,61,84,4,5,1.0,0.0,85.0,145.0,10.0,76.0,1.0
458,2008,Rajiv Gandhi International Stadium,Hyderabad,1,SC Ganguly,1,58,91,11,5,1.0,0.0,92.0,149.0,17.0,76.0,1.0
3330,2012,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,CH Gayle,1,61,87,8,4,1.0,0.0,88.0,148.0,13.0,76.0,1.0
1701,2010,Himachal Pradesh Cricket Association Stadium,Dharamsala,1,SE Marsh,2,60,88,8,5,1.0,1.0,89.0,148.0,14.0,76.0,2.0
6437,2016,"Wankhede Stadium, Mumbai",Mumbai,2,KA Pollard,3,40,90,6,9,0.0,3.0,91.0,90.0,16.0,76.0,4.0
6541,2017,Feroz Shah Kotla,Delhi,1,KK Nair,3,75,85,10,0,3.0,0.0,86.0,110.0,11.0,76.0,1.0
9658,2022,"Eden Gardens, Kolkata",Kolkata,1,JC Buttler,1,60,89,12,2,1.0,0.0,90.0,149.0,15.0,76.0,1.0
7614,2018,Rajiv Gandhi International Stadium,Hyderabad,2,YK Pathan,4,55,86,5,6,2.0,2.0,87.0,113.5,12.0,76.0,3.0
6078,2016,M Chinnaswamy Stadium,Bangalore,2,AB de Villiers,3,57,85,5,5,2.0,1.0,86.0,113.5,11.0,76.0,2.0
65,2008,"Eden Gardens, Kolkata",Kolkata,1,DJ Hussey,5,80,85,6,5,5.0,0.0,86.0,101.0,12.0,75.0,1.0
3444,2012,Sawai Mansingh Stadium,Jaipur,2,DR Smith,1,60,87,10,3,0.0,1.0,88.0,87.0,14.0,75.0,2.0
6554,2017,Feroz Shah Kotla,Delhi,1,RR Pant,3,48,89,9,6,3.0,0.0,90.0,105.0,16.0,75.0,1.0
3125,2012,M Chinnaswamy Stadium,Bangalore,1,MA Agarwal,3,56,87,7,6,2.0,1.0,88.0,115.0,14.0,75.0,2.0
6598,2017,Feroz Shah Kotla,Delhi,2,SS Iyer,4,73,82,3,5,3.0,1.0,83.0,106.33333333333333,9.0,75.0,2.0
6510,2017,"Eden Gardens, Kolkata",Kolkata,2,RV Uthappa,3,53,87,8,5,3.0,0.0,88.0,104.66666666666667,14.0,75.0,1.0
2168,2011,"Eden Gardens, Kolkata",Kolkata,1,G Gambhir,3,67,85,10,1,3.0,0.0,86.0,107.33333333333333,12.0,75.0,1.0
9050,2021,"Wankhede Stadium, Mumbai",Mumbai,1,MM Ali,3,59,87,7,6,3.0,0.0,88.0,106.66666666666667,14.0,75.0,1.0
8405,2019,"Wankhede Stadium, Mumbai",Mumbai,2,JC Buttler,1,44,89,8,7,1.0,0.0,90.0,133.0,16.0,75.0,1.0
3041,2012,Feroz Shah Kotla,Delhi,2,AM Rahane,1,65,84,9,1,0.0,1.0,85.0,84.0,11.0,75.0,2.0
2246,2011,Feroz Shah Kotla,Delhi,1,NV Ojha,5,85,85,5,6,4.0,1.0,86.0,106.25,12.0,75.0,2.0
3373,2012,Rajiv Gandhi International Stadium,Hyderabad,1,S Dhawan,2,53,89,10,5,2.0,0.0,90.0,115.5,16.0,75.0,1.0
2860,2011,"Wankhede Stadium, Mumbai",Mumbai,2,SR Watson,1,49,89,9,6,0.0,1.0,90.0,89.0,16.0,75.0,2.0
6830,2017,Maharashtra Cricket Association Stadium,Pune,2,RV Uthappa,1,49,87,7,6,1.0,0.0,88.0,136.0,14.0,75.0,1.0
9555,2022,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,1,DP Conway,1,51,87,8,5,1.0,0.0,88.0,138.0,14.0,75.0,1.0
8825,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,KS Williamson,2,74,82,8,0,0.0,2.0,83.0,82.0,9.0,75.0,3.0
6002,2016,Feroz Shah Kotla,Delhi,2,RV Uthappa,2,60,83,7,2,2.0,0.0,84.0,113.0,10.0,75.0,1.0
6172,2016,Maharashtra Cricket Association Stadium,Pune,2,RG Sharma,1,61,85,8,3,0.0,1.0,86.0,85.0,12.0,75.0,2.0
2759,2011,Sawai Mansingh Stadium,Jaipur,2,AM Rahane,3,62,85,10,1,2.0,1.0,86.0,116.0,12.0,75.0,2.0
